GEO.id,GEO.id2,GEO.display-label,OCC,OCCUPATION2010.display-label,EST_HC1_VC2,EST_HC2_VC2,EST_HC3_VC2,EST_HC4_VC2,EST_HC5_VC2,EST_HC6_VC2,EST_HC7_VC2,EST_HC8_VC2,EST_HC9_VC2,EST_HC10_VC2,EST_HC11_VC2,EST_HC12_VC2,EST_HC13_VC2,EST_HC14_VC2,EST_HC15_VC2,EST_HC16_VC2,EST_HC1_VC3,EST_HC2_VC3,EST_HC3_VC3,EST_HC4_VC3,EST_HC5_VC3,EST_HC6_VC3,EST_HC7_VC3,EST_HC8_VC3,EST_HC9_VC3,EST_HC10_VC3,EST_HC11_VC3,EST_HC12_VC3,EST_HC13_VC3,EST_HC14_VC3,EST_HC15_VC3,EST_HC16_VC3,EST_HC1_VC5,EST_HC2_VC5,EST_HC3_VC5,EST_HC4_VC5,EST_HC5_VC5,EST_HC6_VC5,EST_HC7_VC5,EST_HC8_VC5,EST_HC9_VC5,EST_HC10_VC5,EST_HC11_VC5,EST_HC12_VC5,EST_HC13_VC5,EST_HC14_VC5,EST_HC15_VC5,EST_HC16_VC5,EST_HC1_VC6,EST_HC2_VC6,EST_HC3_VC6,EST_HC4_VC6,EST_HC5_VC6,EST_HC6_VC6,EST_HC7_VC6,EST_HC8_VC6,EST_HC9_VC6,EST_HC10_VC6,EST_HC11_VC6,EST_HC12_VC6,EST_HC13_VC6,EST_HC14_VC6,EST_HC15_VC6,EST_HC16_VC6,EST_HC1_VC8,EST_HC2_VC8,EST_HC3_VC8,EST_HC4_VC8,EST_HC5_VC8,EST_HC6_VC8,EST_HC7_VC8,EST_HC8_VC8,EST_HC9_VC8,EST_HC10_VC8,EST_HC11_VC8,EST_HC12_VC8,EST_HC13_VC8,EST_HC14_VC8,EST_HC15_VC8,EST_HC16_VC8,EST_HC1_VC9,EST_HC2_VC9,EST_HC3_VC9,EST_HC4_VC9,EST_HC5_VC9,EST_HC6_VC9,EST_HC7_VC9,EST_HC8_VC9,EST_HC9_VC9,EST_HC10_VC9,EST_HC11_VC9,EST_HC12_VC9,EST_HC13_VC9,EST_HC14_VC9,EST_HC15_VC9,EST_HC16_VC9,MOE_HC1_VC2,MOE_HC2_VC2,MOE_HC3_VC2,MOE_HC4_VC2,MOE_HC5_VC2,MOE_HC6_VC2,MOE_HC7_VC2,MOE_HC8_VC2,MOE_HC9_VC2,MOE_HC10_VC2,MOE_HC11_VC2,MOE_HC12_VC2,MOE_HC13_VC2,MOE_HC14_VC2,MOE_HC15_VC2,MOE_HC16_VC2,MOE_HC1_VC3,MOE_HC2_VC3,MOE_HC3_VC3,MOE_HC4_VC3,MOE_HC5_VC3,MOE_HC6_VC3,MOE_HC7_VC3,MOE_HC8_VC3,MOE_HC9_VC3,MOE_HC10_VC3,MOE_HC11_VC3,MOE_HC12_VC3,MOE_HC13_VC3,MOE_HC14_VC3,MOE_HC15_VC3,MOE_HC16_VC3,MOE_HC1_VC5,MOE_HC2_VC5,MOE_HC3_VC5,MOE_HC4_VC5,MOE_HC5_VC5,MOE_HC6_VC5,MOE_HC7_VC5,MOE_HC8_VC5,MOE_HC9_VC5,MOE_HC10_VC5,MOE_HC11_VC5,MOE_HC12_VC5,MOE_HC13_VC5,MOE_HC14_VC5,MOE_HC15_VC5,MOE_HC16_VC5,MOE_HC1_VC6,MOE_HC2_VC6,MOE_HC3_VC6,MOE_HC4_VC6,MOE_HC5_VC6,MOE_HC6_VC6,MOE_HC7_VC6,MOE_HC8_VC6,MOE_HC9_VC6,MOE_HC10_VC6,MOE_HC11_VC6,MOE_HC12_VC6,MOE_HC13_VC6,MOE_HC14_VC6,MOE_HC15_VC6,MOE_HC16_VC6,MOE_HC1_VC8,MOE_HC2_VC8,MOE_HC3_VC8,MOE_HC4_VC8,MOE_HC5_VC8,MOE_HC6_VC8,MOE_HC7_VC8,MOE_HC8_VC8,MOE_HC9_VC8,MOE_HC10_VC8,MOE_HC11_VC8,MOE_HC12_VC8,MOE_HC13_VC8,MOE_HC14_VC8,MOE_HC15_VC8,MOE_HC16_VC8,MOE_HC1_VC9,MOE_HC2_VC9,MOE_HC3_VC9,MOE_HC4_VC9,MOE_HC5_VC9,MOE_HC6_VC9,MOE_HC7_VC9,MOE_HC8_VC9,MOE_HC9_VC9,MOE_HC10_VC9,MOE_HC11_VC9,MOE_HC12_VC9,MOE_HC13_VC9,MOE_HC14_VC9,MOE_HC15_VC9,MOE_HC16_VC9,
0500000US36005,36005,"Bronx County, New York",10,Chief executives and legislators 0010 (SOC 11-10XX),925,65,165,365,225,0,70,0,0,0,0,20,(X),(X),(X),15,100,7,18,40,24,0,8,0,0,0,0,2,(X),(X),(X),2,725,65,130,285,185,0,45,0,0,0,0,0,(X),(X),(X),15,78,7,14,31,20,0,5,0,0,0,0,0,(X),(X),(X),2,205,0,35,80,40,0,25,0,0,0,0,20,(X),(X),(X),0,22,0,4,9,4,0,3,0,0,0,0,2,(X),(X),(X),0,198,57,95,119,121,123,47,123,123,123,123,38,(X),(X),(X),26,4,6,10,12,12,4,5,4,4,4,4,4,(X),(X),(X),3,164,57,85,100,118,123,36,123,123,123,123,123,(X),(X),(X),26,9,6,9,11,12,4,4,4,4,4,4,4,(X),(X),(X),3,92,123,35,56,40,123,32,123,123,123,123,38,(X),(X),(X),123,8,4,4,6,4,4,3,4,4,4,4,4,(X),(X),(X),4,
0500000US36005,36005,"Bronx County, New York",20,General and operations managers 0020 (SOC 11-1021),1975,245,660,420,485,0,145,0,20,0,0,0,(X),(X),(X),0,100,12,33,21,25,0,7,0,1,0,0,0,(X),(X),(X),0,1105,130,300,225,310,0,120,0,20,0,0,0,(X),(X),(X),0,56,7,15,11,16,0,6,0,1,0,0,0,(X),(X),(X),0,865,115,355,195,175,0,25,0,0,0,0,0,(X),(X),(X),0,44,6,18,10,9,0,1,0,0,0,0,0,(X),(X),(X),0,407,102,248,127,184,123,79,123,39,123,123,123,(X),(X),(X),123,2,5,9,6,7,2,4,2,2,2,2,2,(X),(X),(X),2,294,83,186,94,151,123,77,123,39,123,123,123,(X),(X),(X),123,8,4,8,5,7,2,4,2,2,2,2,2,(X),(X),(X),2,219,61,156,93,115,123,29,123,123,123,123,123,(X),(X),(X),123,8,3,7,4,5,2,2,2,2,2,2,2,(X),(X),(X),2,
0500000US36005,36005,"Bronx County, New York",60,Public relations and fundraising managers 0060 (SOC 11-2031),105,15,25,50,15,0,0,0,0,0,0,0,(X),(X),(X),0,100,14,24,48,14,0,0,0,0,0,0,0,(X),(X),(X),0,15,15,0,0,0,0,0,0,0,0,0,0,(X),(X),(X),0,14,14,0,0,0,0,0,0,0,0,0,0,(X),(X),(X),0,90,0,25,50,15,0,0,0,0,0,0,0,(X),(X),(X),0,86,0,24,48,14,0,0,0,0,0,0,0,(X),(X),(X),0,74,25,43,57,24,123,123,123,123,123,123,123,(X),(X),(X),123,28,26,37,37,24,28,28,28,28,28,28,28,(X),(X),(X),28,25,25,123,123,123,123,123,123,123,123,123,123,(X),(X),(X),123,26,26,28,28,28,28,28,28,28,28,28,28,(X),(X),(X),28,73,123,43,57,24,123,123,123,123,123,123,123,(X),(X),(X),123,24,28,37,37,24,28,28,28,28,28,28,28,(X),(X),(X),28,
0500000US36005,36005,"Bronx County, New York",100,Administrative services managers 0100 (SOC 11-3011),390,4,170,75,130,0,4,0,0,0,0,0,(X),(X),(X),0,100,1,44,19,33,0,1,0,0,0,0,0,(X),(X),(X),0,260,0,120,45,90,0,4,0,0,0,0,0,(X),(X),(X),0,67,0,31,12,23,0,1,0,0,0,0,0,(X),(X),(X),0,130,4,50,35,40,0,0,0,0,0,0,0,(X),(X),(X),0,33,1,13,9,10,0,0,0,0,0,0,0,(X),(X),(X),0,137,17,98,46,79,123,21,123,123,123,123,123,(X),(X),(X),123,9,4,19,11,17,9,5,9,9,9,9,9,(X),(X),(X),9,116,123,86,37,67,123,21,123,123,123,123,123,(X),(X),(X),123,15,9,19,9,14,9,5,9,9,9,9,9,(X),(X),(X),9,73,17,56,32,35,123,123,123,123,123,123,123,(X),(X),(X),123,16,4,13,8,9,9,9,9,9,9,9,9,(X),(X),(X),9,
0500000US36005,36005,"Bronx County, New York",110,Computer and information systems managers 0110 (SOC 11-3021),665,40,285,190,115,0,20,0,0,0,0,0,(X),(X),(X),10,100,6,43,29,17,0,3,0,0,0,0,0,(X),(X),(X),2,465,0,210,150,75,0,20,0,0,0,0,0,(X),(X),(X),10,70,0,32,23,11,0,3,0,0,0,0,0,(X),(X),(X),2,200,40,75,40,45,0,0,0,0,0,0,0,(X),(X),(X),0,30,6,11,6,7,0,0,0,0,0,0,0,(X),(X),(X),0,195,43,153,84,75,123,21,123,123,123,123,123,(X),(X),(X),19,5,6,15,12,11,5,3,5,5,5,5,5,(X),(X),(X),3,169,123,122,74,62,123,21,123,123,123,123,123,(X),(X),(X),19,11,5,12,10,9,5,3,5,5,5,5,5,(X),(X),(X),3,83,43,68,38,41,123,123,123,123,123,123,123,(X),(X),(X),123,11,6,10,6,6,5,5,5,5,5,5,5,(X),(X),(X),5,
0500000US36005,36005,"Bronx County, New York",120,Financial managers 0120 (SOC 11-3031),2655,130,735,520,1120,0,150,4,0,0,0,0,(X),(X),(X),0,100,5,28,20,42,0,6,0,0,0,0,0,(X),(X),(X),0,1070,25,355,245,390,0,55,0,0,0,0,0,(X),(X),(X),0,40,1,13,9,15,0,2,0,0,0,0,0,(X),(X),(X),0,1580,105,380,275,730,0,90,4,0,0,0,0,(X),(X),(X),0,60,4,14,10,28,0,3,0,0,0,0,0,(X),(X),(X),0,416,96,210,171,265,123,74,21,123,123,123,123,(X),(X),(X),123,1,3,7,6,8,1,3,1,1,1,1,1,(X),(X),(X),1,230,37,162,105,163,123,42,123,123,123,123,123,(X),(X),(X),123,7,1,6,4,6,1,2,1,1,1,1,1,(X),(X),(X),1,313,90,131,124,214,123,67,21,123,123,123,123,(X),(X),(X),123,7,3,5,4,7,1,3,1,1,1,1,1,(X),(X),(X),1,
0500000US36005,36005,"Bronx County, New York",150,Purchasing managers 0150 (SOC 11-3061),235,15,50,85,70,0,0,0,0,0,0,0,(X),(X),(X),15,100,6,21,36,30,0,0,0,0,0,0,0,(X),(X),(X),6,140,0,40,65,35,0,0,0,0,0,0,0,(X),(X),(X),0,60,0,17,28,15,0,0,0,0,0,0,0,(X),(X),(X),0,95,15,10,15,35,0,0,0,0,0,0,0,(X),(X),(X),15,40,6,4,6,15,0,0,0,0,0,0,0,(X),(X),(X),6,104,24,41,70,57,123,123,123,123,123,123,123,(X),(X),(X),29,14,10,16,23,21,14,14,14,14,14,14,14,(X),(X),(X),12,81,123,37,64,43,123,123,123,123,123,123,123,(X),(X),(X),123,22,14,15,22,18,14,14,14,14,14,14,14,(X),(X),(X),14,65,24,20,31,41,123,123,123,123,123,123,123,(X),(X),(X),29,22,10,8,13,16,14,14,14,14,14,14,14,(X),(X),(X),12,
0500000US36005,36005,"Bronx County, New York",160,"Transportation, storage, and distribution managers 0160 (SOC 11-3071)",465,25,115,150,175,0,0,0,0,0,0,0,(X),(X),(X),0,100,5,25,32,38,0,0,0,0,0,0,0,(X),(X),(X),0,310,15,75,115,110,0,0,0,0,0,0,0,(X),(X),(X),0,67,3,16,25,24,0,0,0,0,0,0,0,(X),(X),(X),0,150,4,40,40,65,0,0,0,0,0,0,0,(X),(X),(X),0,32,1,9,9,14,0,0,0,0,0,0,0,(X),(X),(X),0,155,25,79,90,95,123,123,123,123,123,123,123,(X),(X),(X),123,7,5,15,16,17,7,7,7,7,7,7,7,(X),(X),(X),7,120,24,69,72,71,123,123,123,123,123,123,123,(X),(X),(X),123,16,5,14,15,14,7,7,7,7,7,7,7,(X),(X),(X),7,93,15,44,60,58,123,123,123,123,123,123,123,(X),(X),(X),123,16,3,9,13,11,7,7,7,7,7,7,7,(X),(X),(X),7,
0500000US36005,36005,"Bronx County, New York",220,Construction managers 0220 (SOC 11-9021),1205,155,350,420,170,0,90,0,0,0,0,0,(X),(X),(X),20,100,13,29,35,14,0,8,0,0,0,0,0,(X),(X),(X),2,1070,145,325,335,170,0,75,0,0,0,0,0,(X),(X),(X),20,89,12,27,28,14,0,6,0,0,0,0,0,(X),(X),(X),2,135,10,25,80,0,0,15,0,0,0,0,0,(X),(X),(X),0,11,1,2,7,0,0,1,0,0,0,0,0,(X),(X),(X),0,290,84,153,161,85,123,78,123,123,123,123,123,(X),(X),(X),31,3,7,10,10,6,3,6,3,3,3,3,3,(X),(X),(X),3,254,87,145,130,85,123,76,123,123,123,123,123,(X),(X),(X),31,7,7,10,9,6,3,6,3,3,3,3,3,(X),(X),(X),3,96,22,42,81,123,123,16,123,123,123,123,123,(X),(X),(X),123,7,2,3,6,3,3,1,3,3,3,3,3,(X),(X),(X),3,
0500000US36005,36005,"Bronx County, New York",300,Architectural and engineering managers 0300 (SOC 11-9041),30,0,15,15,0,0,0,0,0,0,0,0,(X),(X),(X),0,100,0,50,50,0,0,0,0,0,0,0,0,(X),(X),(X),0,15,0,0,15,0,0,0,0,0,0,0,0,(X),(X),(X),0,50,0,0,50,0,0,0,0,0,0,0,0,(X),(X),(X),0,15,0,15,0,0,0,0,0,0,0,0,0,(X),(X),(X),0,50,0,50,0,0,0,0,0,0,0,0,0,(X),(X),(X),0,35,123,28,23,123,123,123,123,123,123,123,123,(X),(X),(X),123,56,56,50,50,56,56,56,56,56,56,56,56,(X),(X),(X),56,23,123,123,23,123,123,123,123,123,123,123,123,(X),(X),(X),123,50,56,56,50,56,56,56,56,56,56,56,56,(X),(X),(X),56,28,123,28,123,123,123,123,123,123,123,123,123,(X),(X),(X),123,50,56,50,56,56,56,56,56,56,56,56,56,(X),(X),(X),56,
