Sex,Ethnic Grp,EEO-4 Cat,EEO-4 Description,Estab ID,OccGrpDesc,Count(*)
F,AMERIND,6,Office/Clerical,NYCTRANSIT,Hourly Occupational,3
F,AMERIND,1,Officials/Administrators,NYCTRANSIT,Operating Supervisors,1
F,AMERIND,8,Service Maintenance,NYCTRANSIT,Hourly Occupational,2
F,AMERIND,7,Skilled Craft,NYCTRANSIT,Hourly Occupational,3
F,AMERIND,3,Technicians,NYCTRANSIT,Other Professional & Technical,1
F,ASIAN,6,Office/Clerical,MABSTOA,Administrative & Clerical,16
F,ASIAN,6,Office/Clerical,MABSTOA,Hourly Occupational,1
F,ASIAN,6,Office/Clerical,MABSTOA,Other Professional & Technical,1
F,ASIAN,6,Office/Clerical,NYCTRANSIT,Administrative & Clerical,28
F,ASIAN,6,Office/Clerical,NYCTRANSIT,Hourly Occupational,68
F,ASIAN,1,Officials/Administrators,MABSTOA,Managerial,11
F,ASIAN,1,Officials/Administrators,MABSTOA,Other Professional & Technical,3
F,ASIAN,1,Officials/Administrators,NYCTRANSIT,Managerial,40
F,ASIAN,1,Officials/Administrators,NYCTRANSIT,Operating Supervisors,17
F,ASIAN,1,Officials/Administrators,SIRTOA,Managerial,1
F,ASIAN,5,Paraprofessional,MABSTOA,Other Professional & Technical,3
F,ASIAN,2,Professionals,MABSTOA,Engineering,14
F,ASIAN,2,Professionals,MABSTOA,Other Professional & Technical,71
F,ASIAN,2,Professionals,NYCTRANSIT,Engineering,21
F,ASIAN,2,Professionals,NYCTRANSIT,Other Professional & Technical,73
F,ASIAN,8,Service Maintenance,MABSTOA,Hourly Occupational,12
F,ASIAN,8,Service Maintenance,NYCTRANSIT,Hourly Occupational,27
F,ASIAN,7,Skilled Craft,NYCTRANSIT,Hourly Occupational,22
F,ASIAN,3,Technicians,MABSTOA,Other Professional & Technical,1
F,ASIAN,3,Technicians,NYCTRANSIT,Other Professional & Technical,8
F,BLACK,6,Office/Clerical,MABSTOA,Administrative & Clerical,98
F,BLACK,6,Office/Clerical,MABSTOA,Hourly Occupational,119
F,BLACK,6,Office/Clerical,MABSTOA,Other Professional & Technical,8
F,BLACK,6,Office/Clerical,NYCTRANSIT,Administrative & Clerical,127
F,BLACK,6,Office/Clerical,NYCTRANSIT,Hourly Occupational,986
F,BLACK,6,Office/Clerical,SIRTOA,Administrative & Clerical,1
F,BLACK,6,Office/Clerical,SIRTOA,Engineering,2
F,BLACK,1,Officials/Administrators,MABSTOA,Managerial,88
F,BLACK,1,Officials/Administrators,MABSTOA,Operating Supervisors,44
F,BLACK,1,Officials/Administrators,MABSTOA,Other Professional & Technical,8
F,BLACK,1,Officials/Administrators,NYCTRANSIT,Managerial,175
F,BLACK,1,Officials/Administrators,NYCTRANSIT,Operating Supervisors,526
F,BLACK,1,Officials/Administrators,NYCTRANSIT,Other Professional & Technical,1
F,BLACK,1,Officials/Administrators,SIRTOA,Hourly Occupational,1
F,BLACK,1,Officials/Administrators,SIRTOA,Managerial,1
F,BLACK,5,Paraprofessional,MABSTOA,Other Professional & Technical,11
F,BLACK,5,Paraprofessional,NYCTRANSIT,Other Professional & Technical,3
F,BLACK,2,Professionals,MABSTOA,Engineering,8
F,BLACK,2,Professionals,MABSTOA,Other Professional & Technical,258
F,BLACK,2,Professionals,NYCTRANSIT,Administrative & Clerical,19
F,BLACK,2,Professionals,NYCTRANSIT,Engineering,10
F,BLACK,2,Professionals,NYCTRANSIT,Other Professional & Technical,142
F,BLACK,2,Professionals,SIRTOA,Other Professional & Technical,1
F,BLACK,4,Protective Service,MABSTOA,Hourly Occupational,11
F,BLACK,4,Protective Service,NYCTRANSIT,Hourly Occupational,50
F,BLACK,8,Service Maintenance,MABSTOA,Hourly Occupational,406
F,BLACK,8,Service Maintenance,NYCTRANSIT,Hourly Occupational,2288
F,BLACK,8,Service Maintenance,SIRTOA,Hourly Occupational,15
F,BLACK,7,Skilled Craft,NYCTRANSIT,Hourly Occupational,633
F,BLACK,7,Skilled Craft,SIRTOA,Hourly Occupational,6
F,BLACK,3,Technicians,MABSTOA,Other Professional & Technical,35
F,BLACK,3,Technicians,NYCTRANSIT,Other Professional & Technical,68
F,HISPANIC,6,Office/Clerical,MABSTOA,Administrative & Clerical,34
F,HISPANIC,6,Office/Clerical,MABSTOA,Hourly Occupational,9
F,HISPANIC,6,Office/Clerical,MABSTOA,Other Professional & Technical,3
F,HISPANIC,6,Office/Clerical,NYCTRANSIT,Administrative & Clerical,32
F,HISPANIC,6,Office/Clerical,NYCTRANSIT,Hourly Occupational,156
F,HISPANIC,6,Office/Clerical,SIRTOA,Engineering,1
F,HISPANIC,1,Officials/Administrators,MABSTOA,Managerial,27
F,HISPANIC,1,Officials/Administrators,MABSTOA,Operating Supervisors,20
F,HISPANIC,1,Officials/Administrators,MABSTOA,Other Professional & Technical,1
F,HISPANIC,1,Officials/Administrators,NYCTRANSIT,Managerial,27
F,HISPANIC,1,Officials/Administrators,NYCTRANSIT,Operating Supervisors,48
F,HISPANIC,1,Officials/Administrators,SIRTOA,Managerial,2
F,HISPANIC,1,Officials/Administrators,SIRTOA,Operating Supervisors,1
F,HISPANIC,5,Paraprofessional,MABSTOA,Other Professional & Technical,6
F,HISPANIC,5,Paraprofessional,NYCTRANSIT,Other Professional & Technical,2
F,HISPANIC,2,Professionals,MABSTOA,Engineering,3
F,HISPANIC,2,Professionals,MABSTOA,Other Professional & Technical,64
F,HISPANIC,2,Professionals,NYCTRANSIT,Administrative & Clerical,2
F,HISPANIC,2,Professionals,NYCTRANSIT,Engineering,9
F,HISPANIC,2,Professionals,NYCTRANSIT,Other Professional & Technical,42
F,HISPANIC,2,Professionals,SIRTOA,Other Professional & Technical,1
F,HISPANIC,4,Protective Service,MABSTOA,Hourly Occupational,4
F,HISPANIC,4,Protective Service,NYCTRANSIT,Hourly Occupational,8
F,HISPANIC,8,Service Maintenance,MABSTOA,Hourly Occupational,196
F,HISPANIC,8,Service Maintenance,NYCTRANSIT,Hourly Occupational,486
F,HISPANIC,8,Service Maintenance,SIRTOA,Hourly Occupational,3
F,HISPANIC,7,Skilled Craft,NYCTRANSIT,Hourly Occupational,75
F,HISPANIC,7,Skilled Craft,SIRTOA,Hourly Occupational,2
F,HISPANIC,3,Technicians,MABSTOA,Engineering,1
F,HISPANIC,3,Technicians,MABSTOA,Other Professional & Technical,10
F,HISPANIC,3,Technicians,NYCTRANSIT,Other Professional & Technical,12
F,NHOPI,6,Office/Clerical,NYCTRANSIT,Hourly Occupational,2
F,NHOPI,4,Protective Service,NYCTRANSIT,Hourly Occupational,1
F,NHOPI,8,Service Maintenance,NYCTRANSIT,Hourly Occupational,1
F,NOTSPEC,6,Office/Clerical,MABSTOA,Administrative & Clerical,1
F,NOTSPEC,6,Office/Clerical,NYCTRANSIT,Hourly Occupational,2
F,NOTSPEC,1,Officials/Administrators,NYCTRANSIT,Operating Supervisors,2
F,NOTSPEC,8,Service Maintenance,MABSTOA,Hourly Occupational,3
F,NOTSPEC,8,Service Maintenance,NYCTRANSIT,Hourly Occupational,19
F,NOTSPEC,7,Skilled Craft,NYCTRANSIT,Hourly Occupational,2
F,OTHER,6,Office/Clerical,MABSTOA,Administrative & Clerical,6
F,OTHER,6,Office/Clerical,MABSTOA,Hourly Occupational,2
F,OTHER,6,Office/Clerical,MABSTOA,Other Professional & Technical,1
F,OTHER,6,Office/Clerical,NYCTRANSIT,Administrative & Clerical,7
F,OTHER,6,Office/Clerical,NYCTRANSIT,Hourly Occupational,21
F,OTHER,1,Officials/Administrators,MABSTOA,Managerial,10
F,OTHER,1,Officials/Administrators,MABSTOA,Operating Supervisors,1
F,OTHER,1,Officials/Administrators,MABSTOA,Other Professional & Technical,1
F,OTHER,1,Officials/Administrators,NYCTRANSIT,Managerial,12
F,OTHER,1,Officials/Administrators,NYCTRANSIT,Operating Supervisors,20
F,OTHER,5,Paraprofessional,MABSTOA,Other Professional & Technical,1
F,OTHER,2,Professionals,MABSTOA,Engineering,1
F,OTHER,2,Professionals,MABSTOA,Other Professional & Technical,20
F,OTHER,2,Professionals,NYCTRANSIT,Engineering,3
F,OTHER,2,Professionals,NYCTRANSIT,Other Professional & Technical,16
