EEO-4 Descr,OCC
Officials/Administrators,10
Officials/Administrators,20
Officials/Administrators,60
Officials/Administrators,100
Officials/Administrators,110
Officials/Administrators,120
Officials/Administrators,150
Officials/Administrators,160
Officials/Administrators,220
Officials/Administrators,300
Officials/Administrators,350
Officials/Administrators,425
Officials/Administrators,430
Professionals,510
Paraprofessional,540
Officials/Administrators,565
Professionals,710
Paraprofessional,640
Professionals,650
Professionals,800
Professionals,1005
Professionals,1010
Professionals,1050
Officials/Administrators,1107
Professionals,1220
Professionals,1300
Officials/Administrators,1310
Professionals,1360
Professionals,1410
Officials/Administrators,1460
Officials/Administrators,1530
Technicians,1550
Technicians,1610
Officials/Administrators,1760
Professionals,1840
Professionals,2000
Professionals,2160
Officials/Administrators,2160
Office/Clerical,2145
Professionals,2630
Professionals,2630
Professionals,3258
Professionals,3540
Technicians,3645
Officials/Administrators,3730
Protective Service,3860
Protective Service,3850
Office/Clerical,4720
Officials/Administrators,4720
Skilled Craft,7040
Office/Clerical,5100
Professionals,5240
Office/Clerical,5410
Officials/Administrators,3850
Officials/Administrators,5520
Office/Clerical,5700
Office/Clerical,5700
Office/Clerical,5700
Office/Clerical,5700
Office/Clerical,5810
Office/Clerical,5820
Paraprofessional,5840
Office/Clerical,5860
Office/Clerical,5900
Office/Clerical,5940
Officials/Administrators,6200
Skilled Craft,6210
Skilled Craft,6355
Skilled Craft,6740
Officials/Administrators,6200
Officials/Administrators,7000
Technicians,7020
Skilled Craft,7020
Skilled Craft,7040
Skilled Craft,7050
Skilled Craft,7150
Skilled Craft,7220
Skilled Craft,7410
Skilled Craft,7600
Service Maintenance,7610
Skilled Craft,6330
Skilled Craft,7950
Skilled Craft,8030
Officials/Administrators,8140
Office/Clerical,8256
Officials/Administrators,9000
Service Maintenance,9000
Service Maintenance,9120
Service Maintenance,9150
Skilled Craft,9200
Service Maintenance,9240
Skilled Craft,9200
Professionals,9260
Officials/Administrators,9410
Office/Clerical,9415
Skilled Craft,9510
Service Maintenance,9610
Office/Clerical,9620
Protective Service,3850
Protective Service,3955
